1,1,1,4,2,225,217,315,307,1,1,3.7164,0
1,2,1,4,2,225,219.63,315,309.63,1,1,0.70122,0
1,3,1,4,2,225,219.76,315,309.76,1,1,0.3517,0
1,4,2,4,2,225,219.78,135,129.78,1,1,0.83478,0
1,5,2,4,2,225,219.78,135,129.78,1,2,0.40153,1
1,6,1,4,2,225,222.19,315,312.19,1,1,0.38509,0
1,7,1,4,1,225,229.54,315,319.54,0,1,0.43513,1
1,8,2,4,1,225,227.77,135,137.77,0,1,0.36825,1
1,9,1,4,2,225,222.34,315,312.34,1,1,1.0848,0
1,10,2,4,2,225,220.52,135,130.52,1,1,0.48466,0
1,11,2,4,2,225,219.94,135,129.94,1,1,0.38519,0
1,12,1,4,1,225,230.19,315,320.19,0,2,0.60145,0
1,13,2,4,1,225,230.21,135,140.21,0,1,0.40178,1
1,14,2,4,2,225,222.19,135,132.19,1,2,0.18505,1
1,15,2,4,1,225,227.66,135,137.66,0,2,0.7849,0
1,16,2,4,1,225,229.48,135,139.48,0,1,0.15168,1
1,17,2,4,1,225,227.77,135,137.77,0,1,0.21831,1
1,18,1,4,2,225,222.34,315,312.34,1,1,0.75144,0
1,19,2,4,1,225,229.48,135,139.48,0,1,0.30177,1
1,20,2,4,2,225,222.23,135,132.23,1,2,0.23503,1
1,21,1,4,1,225,227.66,315,317.66,0,1,0.068517,1
1,22,2,4,2,225,222.35,135,132.35,1,2,0.31828,1
1,23,1,4,2,225,222.35,315,312.35,1,1,0.36847,0
1,24,1,4,1,225,229.48,315,319.48,0,2,0.35176,0
1,25,2,4,1,225,230.06,135,140.06,0,2,0.41846,0
1,26,1,4,2,225,219.81,315,309.81,1,2,0.45161,1
1,27,1,4,2,225,222.19,315,312.19,1,2,0.50178,1
1,28,1,4,1,225,227.66,315,317.66,0,2,0.41858,0
1,29,2,4,2,225,220.52,135,130.52,1,2,0.45143,1
1,30,2,4,1,225,227.77,135,137.77,0,1,0.28525,1
1,31,1,4,1,225,227.66,315,317.66,0,1,0.63474,1
1,32,1,4,1,225,227.65,315,317.65,0,2,0.61814,0
1,33,1,4,2,225,220.52,315,310.52,1,2,0.71856,1
1,34,2,4,2,225,222.23,135,132.23,1,1,0.28514,0
1,35,1,4,2,225,220.48,315,310.48,1,2,0.86799,1
1,36,1,4,1,225,227.77,315,317.77,0,2,0.38499,0
1,37,2,4,2,225,220.48,135,130.48,1,2,0.58488,1
1,38,1,4,2,225,222.23,315,312.23,1,1,1.2011,0
1,39,2,4,1,225,229.52,135,139.52,0,1,1.118,1
1,40,2,4,2,225,222.23,135,132.23,1,1,0.60155,0
1,41,1,4,1,225,229.52,315,319.52,0,1,0.61834,1
1,42,2,4,2,225,222.23,135,132.23,1,2,0.35184,1
1,43,2,4,1,225,227.66,135,137.66,0,2,0.48504,0
1,44,2,4,1,225,229.48,135,139.48,0,2,0.55165,0
1,45,1,4,2,225,219.94,315,309.94,1,2,0.48501,1
1,46,1,4,2,225,222.2,315,312.2,1,2,0.25181,1
1,47,1,4,1,225,227.66,315,317.66,0,1,0.46841,1
1,48,2,4,2,225,222.35,135,132.35,1,1,0.3851,0
1,49,1,4,2,225,220.52,315,310.52,1,2,0.85139,1
1,50,1,4,2,225,222.23,315,312.23,1,2,0.8347,1
1,51,2,4,2,225,222.34,135,132.34,1,2,0.51815,1
1,52,1,4,1,225,227.65,315,317.65,0,1,0.26844,1
1,53,1,4,1,225,227.65,315,317.65,0,1,1.2346,1
1,54,1,4,1,225,227.65,315,317.65,0,2,1.5843,0
1,55,1,4,2,225,220.52,315,310.52,1,2,0.36841,1
1,56,1,4,1,225,227.77,315,317.77,0,1,0.36847,1
1,57,1,4,1,225,227.66,315,317.66,0,2,0.7681,0
1,58,1,4,1,225,229.48,315,319.48,0,1,0.35173,1
1,59,2,4,2,225,222.23,135,132.23,1,2,0.66854,1
1,60,2,4,1,225,227.66,135,137.66,0,1,1.0681,1
1,61,1,4,2,225,222.35,315,312.35,1,1,0.36819,0
1,62,2,4,2,225,220.52,135,130.52,1,2,0.40172,1
1,63,2,4,1,225,227.77,135,137.77,0,2,0.48502,0
1,64,1,4,1,225,229.52,315,319.52,0,1,0.285,1
1,65,1,4,2,225,222.23,315,312.23,1,2,0.58484,1
1,66,2,4,1,225,227.66,135,137.66,0,1,0.2684,1
1,67,2,4,2,225,222.35,135,132.35,1,2,0.10169,1
1,68,2,4,1,225,227.65,135,137.65,0,1,0.30187,1
1,69,2,4,2,225,222.35,135,132.35,1,2,0.30179,1
1,70,1,4,2,225,222.35,315,312.35,1,1,0.38508,0
1,71,1,4,1,225,229.48,315,319.48,0,2,0.018573,0
1,72,2,4,2,225,219.94,135,129.94,1,2,0.33519,1
1,73,2,4,1,225,227.8,135,137.8,0,1,0.40174,1
1,74,2,4,1,225,227.66,135,137.66,0,2,0.28507,0
1,75,2,4,2,225,220.52,135,130.52,1,2,0.18523,1
1,76,1,4,2,225,222.23,315,312.23,1,1,0.30167,0
1,77,1,4,1,225,229.52,315,319.52,0,2,2.5504,0
1,78,1,4,1,225,230.07,315,320.07,0,1,0.38502,1
1,79,1,4,2,225,222.19,315,312.19,1,2,0.5183,1
1,80,2,4,2,225,222.34,135,132.34,1,2,0.58505,1
1,81,1,4,2,225,222.35,315,312.35,1,2,1.2015,1
1,82,1,4,2,225,222.35,315,312.35,1,2,0.41833,1
1,83,2,4,1,225,227.65,135,137.65,0,2,0.43496,0
1,84,1,4,2,225,220.52,315,310.52,1,2,1.5676,1
1,85,2,4,1,225,227.77,135,137.77,0,2,1.9508,0
