1,1,2,2,2,2,1.4225
1,2,2,1,1,1,1.2412
1,3,1,1,2,1,0.68553
1,4,2,2,1,1,0.16842
1,5,1,2,1,2,0.53667
1,6,2,2,1,1,1.0353
1,7,2,1,2,2,0.48525
1,8,1,1,1,1,0.41876
1,9,2,2,1,2,0.018487
1,10,1,2,1,2,1.6527
1,11,2,2,2,2,2.069
1,12,2,1,2,2,1.2354
1,13,2,1,1,1,2.486
1,14,2,2,2,2,1.0189
1,15,2,1,2,2,1.0353
1,16,2,2,2,2,1.5353
1,17,2,1,1,1,0.58494
1,18,1,1,1,2,3.3181
1,19,1,2,2,2,2.269
1,20,1,1,1,1,7.7686
1,21,1,2,2,2,27.002
1,22,1,2,1,2,8.8184
1,23,1,1,1,1,5.2684
1,24,1,1,2,1,19.401
1,25,2,2,1,1,1.0352
1,26,1,1,2,2,8.0352
1,27,2,1,2,2,0.93517
1,28,1,1,2,1,4.518
1,29,1,2,2,1,2.5694
1,30,1,2,1,2,1.2193
1,31,1,2,2,1,0.769
1,32,2,1,1,1,7.6688
