1,1,1,1,1,53,45,1,1.6021,0,1
1,2,2,1,1,47.957,45,1,0.86037,0,1
1,3,1,2,1,47.668,45,2,0.90439,0,0
1,4,1,2,1,49.482,45,2,1.9384,0,0
1,5,1,2,2,39.934,45,1,0.45253,1,0
1,6,1,2,2,39.812,45,2,0.35477,1,1
1,7,2,2,1,47.812,45,1,1.0189,0,1
1,8,2,2,2,42.339,45,2,0.48808,1,1
1,9,2,2,1,47.653,45,2,0.21846,0,0
1,10,2,1,1,49.476,45,1,0.28533,0,1
1,11,1,2,2,42.235,45,1,0.88762,1,0
1,12,1,1,1,49.521,45,1,0.4203,0,1
1,13,2,2,2,42.232,45,1,0.65412,1,0
1,14,2,1,1,49.522,45,1,0.59033,0,1
1,15,2,1,2,42.231,45,1,0.81952,1,0
1,16,2,1,2,40.478,45,2,0.33779,1,1
1,17,1,1,2,42.231,45,1,0.41918,1,0
1,18,1,1,1,49.522,45,1,0.41763,0,1
1,19,2,1,2,42.231,45,2,0.38802,1,1
1,20,2,2,2,42.342,45,2,0.61844,1,1
1,21,1,2,1,47.653,45,2,0.45181,0,0
1,22,2,1,1,49.476,45,1,0.43463,0,1
1,23,2,2,1,47.765,45,2,1.1525,0,0
1,24,1,1,2,40.479,45,2,0.41914,1,1
1,25,1,2,1,47.768,45,1,0.13823,0,1
1,26,2,2,1,47.658,45,2,0.16956,0,0
1,27,2,1,2,40.522,45,1,0.3698,1,0
1,28,1,1,2,39.935,45,2,0.40365,1,1
1,29,1,1,2,42.196,45,2,0.30184,1,1
1,30,1,2,2,42.34,45,2,0.45208,1,1
1,31,2,2,2,42.347,45,2,0.3185,1,1
1,32,1,1,1,47.653,45,1,0.32041,0,1
