1,1,2,1,1,2,0.4879
1,2,2,2,2,1,0.70409
1,3,2,2,1,1,0.75409
1,4,1,2,2,2,0.90237
1,5,2,2,2,2,1.2839
1,6,1,2,1,2,1.0685
1,7,1,1,2,1,0.58757
1,8,2,1,1,1,0.86937
1,9,1,2,1,1,1.0684
1,10,2,1,2,2,0.35207
1,11,1,2,2,2,0.30191
1,12,1,2,2,1,0.33767
1,13,1,2,2,2,0.28775
1,14,2,2,1,2,1.1679
1,15,1,1,1,2,0.93477
1,16,1,1,2,2,0.81852
1,17,2,2,2,1,1.8202
1,18,1,1,1,1,1.4871
1,19,2,1,1,2,4.6041
1,20,2,1,2,2,0.51971
1,21,1,1,1,1,1.1038
1,22,2,1,2,1,0.31955
1,23,2,1,2,1,0.72184
1,24,2,1,1,1,1.0215
1,25,1,1,2,1,1.6216
1,26,1,2,1,2,1.8002
1,27,2,2,1,1,0.60439
1,28,1,2,1,1,0.53699
1,29,1,1,1,2,0.8544
1,30,1,1,2,1,0.48724
1,31,2,2,1,2,0.67135
1,32,2,2,2,2,0.60208
